  station,valid,lon,lat,tmpf,relh,drct,sped,mslp,p01m,vsby,skyc1,skyc2,skyc3,skyl1,skyl2,skyl3
        FBL,2023-05-22 00:15,-93.3108,44.3247,75.2,27.26,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
        FBL,2023-05-22 00:35,-93.3108,44.3247,75.2,29.23,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
       FBL,2023-05-22 00:55,-93.3108,44.3247,73.4,33.29,70.0,3.45,M,0.0,10.0,CLR,M,M,M,M,M
       FBL,2023-05-22 01:15,-93.3108,44.3247,73.4,31.05,50.0,3.45,M,0.0,10.0,CLR,M,M,M,M,M
       FBL,2023-05-22 01:35,-93.3108,44.3247,69.8,40.29,60.0,3.45,M,0.0,10.0,CLR,M,M,M,M,M
        FBL,2023-05-22 01:55,-93.3108,44.3247,68.0,42.85,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
        FBL,2023-05-22 02:15,-93.3108,44.3247,66.2,45.6,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
       FBL,2023-05-22 02:35,-93.3108,44.3247,66.2,45.6,50.0,3.45,M,0.0,10.0,CLR,M,M,M,M,M
        FBL,2023-05-22 02:55,-93.3108,44.3247,64.4,48.55,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
        FBL,2023-05-22 03:15,-93.3108,44.3247,59.0,67.33,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
        FBL,2023-05-22 03:35,-93.3108,44.3247,62.6,51.72,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
  FBL,2023-05-22 03:55,-93.3108,44.3247,59.0,62.92,0.0,0.0,M,0.0,10.0,SCT,M,M,9500.00,M,M
  FBL,2023-05-22 04:15,-93.3108,44.3247,62.6,51.72,0.0,0.0,M,0.0,10.0,SCT,M,M,9500.00,M,M
  FBL,2023-05-22 04:35,-93.3108,44.3247,57.2,71.83,0.0,0.0,M,0.0,10.0,SCT,M,M,9500.00,M,M
  FBL,2023-05-22 04:55,-93.3108,44.3247,57.2,71.83,0.0,0.0,M,0.0,10.0,SCT,M,M,9500.00,M,M
        FBL,2023-05-22 05:15,-93.3108,44.3247,55.4,76.66,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
        FBL,2023-05-22 05:35,-93.3108,44.3247,53.6,76.5,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
        FBL,2023-05-22 05:55,-93.3108,44.3247,53.6,76.5,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
        FBL,2023-05-22 06:15,-93.3108,44.3247,55.4,71.64,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
        FBL,2023-05-22 06:35,-93.3108,44.3247,53.6,81.87,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
        FBL,2023-05-22 06:55,-93.3108,44.3247,53.6,76.5,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
        FBL,2023-05-22 07:15,-93.3108,44.3247,53.6,76.5,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 07:35,-93.3108,44.3247,51.8,81.74,160.0,3.45,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 07:55,-93.3108,44.3247,51.8,81.74,160.0,3.45,M,0.0,10.0,CLR,M,M,M,M,M
  FBL,2023-05-22 08:15,-93.3108,44.3247,55.4,66.91,0.0,0.0,M,0.0,10.0,SCT,M,M,8500.00,M,M
        FBL,2023-05-22 08:35,-93.3108,44.3247,55.4,66.91,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
FBL,2023-05-22 08:55,-93.3108,44.3247,55.4,66.91,160.0,4.6,M,0.0,10.0,SCT,M,M,8500.00,M,M
        FBL,2023-05-22 09:15,-93.3108,44.3247,55.4,66.91,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
        FBL,2023-05-22 09:35,-93.3108,44.3247,55.4,66.91,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
        FBL,2023-05-22 09:55,-93.3108,44.3247,53.6,71.45,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 10:15,-93.3108,44.3247,55.4,71.64,170.0,3.45,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 10:35,-93.3108,44.3247,55.4,71.64,170.0,3.45,M,0.0,10.0,CLR,M,M,M,M,M
  FBL,2023-05-22 10:55,-93.3108,44.3247,55.4,71.64,0.0,0.0,M,0.0,10.0,SCT,M,M,8500.00,M,M
FBL,2023-05-22 11:15,-93.3108,44.3247,53.6,76.5,120.0,3.45,M,0.0,10.0,SCT,M,M,9500.00,M,M
        FBL,2023-05-22 11:35,-93.3108,44.3247,53.6,76.5,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
        FBL,2023-05-22 11:55,-93.3108,44.3247,57.2,67.12,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
        FBL,2023-05-22 12:15,-93.3108,44.3247,57.2,71.83,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
FBL,2023-05-22 12:35,-93.3108,44.3247,57.2,71.83,170.0,3.45,M,0.0,10.0,SCT,M,M,9500.00,M,M
      FBL,2023-05-22 12:55,-93.3108,44.3247,60.8,63.15,170.0,3.45,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 13:15,-93.3108,44.3247,62.6,59.26,180.0,3.45,M,0.0,10.0,CLR,M,M,M,M,M
       FBL,2023-05-22 13:35,-93.3108,44.3247,64.4,63.6,170.0,4.6,M,0.0,7.0,CLR,M,M,M,M,M
      FBL,2023-05-22 13:55,-93.3108,44.3247,64.4,63.6,180.0,5.75,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 14:15,-93.3108,44.3247,68.0,56.13,160.0,6.9,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 14:35,-93.3108,44.3247,69.8,52.77,180.0,3.45,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 14:55,-93.3108,44.3247,71.6,49.64,170.0,6.9,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 15:15,-93.3108,44.3247,73.4,43.69,200.0,6.9,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 15:35,-93.3108,44.3247,73.4,43.69,170.0,8.05,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 15:55,-93.3108,44.3247,75.2,41.14,190.0,6.9,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 16:15,-93.3108,44.3247,75.2,38.46,200.0,8.05,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 16:35,-93.3108,44.3247,75.2,35.94,200.0,9.2,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 16:55,-93.3108,44.3247,77.0,33.85,200.0,5.75,M,0.0,10.0,CLR,M,M,M,M,M
     FBL,2023-05-22 17:15,-93.3108,44.3247,78.8,31.9,180.0,10.35,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 17:35,-93.3108,44.3247,78.8,31.9,150.0,9.2,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 17:55,-93.3108,44.3247,78.8,29.79,170.0,6.9,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 18:15,-93.3108,44.3247,78.8,29.79,160.0,9.2,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 18:35,-93.3108,44.3247,78.8,29.79,120.0,9.2,M,0.0,10.0,CLR,M,M,M,M,M
        FBL,2023-05-22 18:55,-93.3108,44.3247,78.8,29.79,0.0,0.0,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 19:15,-93.3108,44.3247,80.6,28.08,150.0,9.2,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 19:35,-93.3108,44.3247,78.8,29.79,140.0,4.6,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 19:55,-93.3108,44.3247,78.8,29.79,130.0,5.75,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 20:15,-93.3108,44.3247,80.6,30.07,120.0,9.2,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 20:35,-93.3108,44.3247,78.8,29.79,130.0,6.9,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 20:55,-93.3108,44.3247,80.6,28.08,170.0,5.75,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 21:15,-93.3108,44.3247,80.6,28.08,140.0,8.05,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 21:35,-93.3108,44.3247,80.6,28.08,120.0,9.2,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 21:55,-93.3108,44.3247,80.6,28.08,140.0,6.9,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 22:15,-93.3108,44.3247,80.6,26.22,140.0,8.05,M,0.0,10.0,CLR,M,M,M,M,M
     FBL,2023-05-22 22:35,-93.3108,44.3247,78.8,29.79,140.0,10.35,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 22:55,-93.3108,44.3247,78.8,29.79,150.0,5.75,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 23:15,-93.3108,44.3247,78.8,29.79,150.0,6.9,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 23:35,-93.3108,44.3247,78.8,31.9,150.0,5.75,M,0.0,10.0,CLR,M,M,M,M,M
      FBL,2023-05-22 23:55,-93.3108,44.3247,78.8,29.79,160.0,8.05,M,0.0,10.0,CLR,M,M,M,M,M
